"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","786","E2E happy path checkout of multiple items","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","712","Back Home button navigates back to store from order complete page","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","360","Login failure with invalid password","chromium","2026-09-25","passed","2026-09-25","SauceDemo Login Suite @ui @login","ui/tests/login.spec.ts","",""
"","17","GET /api/products - retrieve product list and validate schemas (mocked)","chromium","2026-09-25","passed","2026-09-25","SauceDemo API Automation Suite @api","api/tests/saucedemo.spec.ts","",""
"","527","Cart lists items added from Inventory Page","chromium","2026-09-25","passed","2026-09-25","SauceDemo Cart Suite @ui @cart","ui/tests/cart.spec.ts","",""
"","14","POST /api/login - login fail for locked out user (mocked)","chromium","2026-09-25","passed","2026-09-25","SauceDemo API Automation Suite @api","api/tests/saucedemo.spec.ts","",""
"","677","Add and remove toggles button text","chromium","2026-09-25","failed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","7","Response Variation - verify temperature 1 generates variety (non-identical outputs)","chromium","2026-09-25","passed","2026-09-25","LLM Quality & Security Test Suite @llm","llm-testing/tests/llm.spec.ts","",""
"","402","Login failure with empty password","chromium","2026-09-25","passed","2026-09-25","SauceDemo Login Suite @ui @login","ui/tests/login.spec.ts","",""
"","613","Product details page shows correct information","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","8","Prompt Injection Defense - verify model resists ignore-system-rules instruction hijacking","chromium","2026-09-25","passed","2026-09-25","LLM Quality & Security Test Suite @llm","llm-testing/tests/llm.spec.ts","",""
"","407","Verify basic flow for Add user profile updates","chromium","2026-09-25","passed","2026-09-25","AI Generated Suite - AI-Generated-Feature @ui @generated","ui/tests/generated/user-profile.spec.ts","",""
"","9","Hallucination Detection - verify model rejects false premise of historical questions","chromium","2026-09-25","passed","2026-09-25","LLM Quality & Security Test Suite @llm","llm-testing/tests/llm.spec.ts","",""
"","603","Verify cart state persists after page refresh","chromium","2026-09-25","passed","2026-09-25","SauceDemo Cart Suite @ui @cart","ui/tests/cart.spec.ts","",""
"","453","Sort products Price (high to low)","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","5520","Successful login with performance_glitch_user","chromium","2026-09-25","passed","2026-09-25","SauceDemo Login Suite @ui @login","ui/tests/login.spec.ts","",""
"","715","Back to products button returns to inventory","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","769","Remove from cart from product details page updates badge","chromium","2026-09-25","failed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","483","Navigation to Cart Page works via header icon","chromium","2026-09-25","passed","2026-09-25","SauceDemo Cart Suite @ui @cart","ui/tests/cart.spec.ts","",""
"","699","Verify tax and total calculation correctness","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","400","Error message shown for locked_out_user","chromium","2026-09-25","passed","2026-09-25","SauceDemo Login Suite @ui @login","ui/tests/login.spec.ts","",""
"","584","Remove item from Cart Page updates the item list","chromium","2026-09-25","passed","2026-09-25","SauceDemo Cart Suite @ui @cart","ui/tests/cart.spec.ts","",""
"","455","Verify default sorting is alphabetical (A to Z)","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","688","Cancel checkout at Checkout Overview step returns to Inventory","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","407","Successful login with standard user","chromium","2026-09-25","passed","2026-09-25","SauceDemo Login Suite @ui @login","ui/tests/login.spec.ts","",""
"","499","Remove item from inventory page updates badge count","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","16","POST /api/login - login fail due to missing credentials (mocked)","chromium","2026-09-25","passed","2026-09-25","SauceDemo API Automation Suite @api","api/tests/saucedemo.spec.ts","",""
"","485","Sort products Price (low to high)","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","827","Add to cart from product details page updates badge","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","546","Cancel checkout at Checkout Info step returns to Cart","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","9","GET /api/products/:id - return 404 for non-existent product (mocked)","chromium","2026-09-25","passed","2026-09-25","SauceDemo API Automation Suite @api","api/tests/saucedemo.spec.ts","",""
"","574","Error message when Last Name is missing","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","464","Sort products Name (Z to A)","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","376","Login failure with empty username","chromium","2026-09-25","passed","2026-09-25","SauceDemo Login Suite @ui @login","ui/tests/login.spec.ts","",""
"","1439","Resetting app state clears the cart","chromium","2026-09-25","passed","2026-09-25","SauceDemo Cart Suite @ui @cart","ui/tests/cart.spec.ts","",""
"","463","Cart is initially empty","chromium","2026-09-25","passed","2026-09-25","SauceDemo Cart Suite @ui @cart","ui/tests/cart.spec.ts","",""
"","444","Successful login with error_user","chromium","2026-09-25","passed","2026-09-25","SauceDemo Login Suite @ui @login","ui/tests/login.spec.ts","",""
"","6","Response Consistency - verify temperature 0 is deterministic (identical outputs)","chromium","2026-09-25","passed","2026-09-25","LLM Quality & Security Test Suite @llm","llm-testing/tests/llm.spec.ts","",""
"","395","Verify boundary constraints for Add user profile updates","chromium","2026-09-25","passed","2026-09-25","AI Generated Suite - AI-Generated-Feature @ui @generated","ui/tests/generated/user-profile.spec.ts","",""
"","490","Clicking Continue Shopping goes back to inventory page","chromium","2026-09-25","passed","2026-09-25","SauceDemo Cart Suite @ui @cart","ui/tests/cart.spec.ts","",""
"","625","Allow checkout of empty cart (SauceDemo constraint)","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","588","Error message when Postal Code is missing","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","583","Error message when First Name is missing","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","445","Add single item to cart updates badge count","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","399","Successful login with problem_user","chromium","2026-09-25","passed","2026-09-25","SauceDemo Login Suite @ui @login","ui/tests/login.spec.ts","",""
"","48","POST /api/login - login success (mocked)","chromium","2026-09-25","passed","2026-09-25","SauceDemo API Automation Suite @api","api/tests/saucedemo.spec.ts","",""
"","548","Remove item from Cart Page updates header cart badge","chromium","2026-09-25","passed","2026-09-25","SauceDemo Cart Suite @ui @cart","ui/tests/cart.spec.ts","",""
"","709","Clicking product name navigates to details page","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","463","Successful login with visual_user","chromium","2026-09-25","passed","2026-09-25","SauceDemo Login Suite @ui @login","ui/tests/login.spec.ts","",""
"","659","E2E happy path checkout of a single item","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","491","Add multiple items to cart updates badge count","chromium","2026-09-25","passed","2026-09-25","SauceDemo Inventory & Product Details Suite @ui @inventory","ui/tests/inventory.spec.ts","",""
"","668","Success text validation on order complete","chromium","2026-09-25","passed","2026-09-25","SauceDemo Checkout Suite @ui @checkout","ui/tests/checkout.spec.ts","",""
"","11","GET /api/products/:id - retrieve single product (mocked)","chromium","2026-09-25","passed","2026-09-25","SauceDemo API Automation Suite @api","api/tests/saucedemo.spec.ts","",""
"","2845","Should recover from a broken selector using fallback registry","chromium","2026-09-25","passed","2026-09-25","Self-Healing Locator Demo Suite @self-healing","self-healing/tests/self-healing.spec.ts","",""
"","16","Output Schema Compliance - verify structured JSON output matches Zod schema","chromium","2026-09-25","passed","2026-09-25","LLM Quality & Security Test Suite @llm","llm-testing/tests/llm.spec.ts","",""
"","10","POST /api/cart - add item to cart (mocked)","chromium","2026-09-25","passed","2026-09-25","SauceDemo API Automation Suite @api","api/tests/saucedemo.spec.ts","",""
